Category: All categories

Region,Football: (1/1/04 - 4/5/21),American football: (1/1/04 - 4/5/21)
Alabama,16%,84%
Nebraska,22%,78%
Mississippi,21%,79%
Iowa,23%,77%
South Carolina,23%,77%
West Virginia,22%,78%
Tennessee,23%,77%
Oklahoma,24%,76%
Georgia,27%,73%
Louisiana,25%,75%
Arkansas,23%,77%
Ohio,31%,69%
Michigan,28%,72%
Kentucky,28%,72%
Idaho,27%,73%
North Dakota,27%,73%
Utah,32%,68%
South Dakota,30%,70%
Kansas,34%,66%
Wyoming,28%,72%
North Carolina,34%,66%
Texas,36%,64%
Montana,27%,73%
Indiana,34%,66%
Florida,34%,66%
Pennsylvania,37%,63%
Wisconsin,35%,65%
Minnesota,37%,63%
Hawaii,34%,66%
Colorado,38%,62%
Missouri,39%,61%
Arizona,36%,64%
District of Columbia,42%,58%
Oregon,49%,51%
Virginia,46%,54%
Washington,40%,60%
Delaware,42%,58%
Illinois,42%,58%
Nevada,41%,59%
Maryland,46%,54%
New Jersey,52%,48%
New Mexico,39%,61%
Connecticut,52%,48%
California,54%,46%
Massachusetts,52%,48%
Rhode Island,53%,47%
New York,53%,47%
New Hampshire,48%,52%
Vermont,53%,47%
Alaska,42%,58%
Maine,47%,53%
